id,nom_fichier,titre,auteur,annee,sujets
8074,La Cité Antique.txt,"La Cité Antique Étude sur Le Culte, Le Droit, Les Institutions de la Grèce et de Rome","Fustel de Coulanges, 1830-1889",2005,"Cities and towns, Ancient; Greece -- Politics and government; Rome -- Politics and government; Civilization, Greco-Roman"
8174,"Kéraban-Le-Têtu, Volume I.txt","Kéraban-Le-Têtu, Volume I","Verne, Jules, 1828-1905",2005,"Turkey -- History -- Ottoman Empire, 1288-1918 -- Fiction"
8175,"Kéraban-Le-Têtu, Volume II.txt","Kéraban-Le-Têtu, Volume II","Verne, Jules, 1828-1905",2005,"Turkey -- History -- Ottoman Empire, 1288-1918 -- Fiction"
8186,"Actes et Paroles, Volume 1.txt","Actes et Paroles, Volume 1","Hugo, Victor, 1802-1885",2005,"France -- Politics and government -- 1789-1900; Hugo, Victor, 1802-1885"
8416,Nouveaux Contes à Ninon.txt,Nouveaux Contes à Ninon,"Zola, Émile, 1840-1902",2005,"Short stories, French; French fiction -- 19th century"
8453,"Actes et Paroles, Volume 2 Pendant l'exil 1852-1870.txt","Actes et Paroles, Volume 2: Pendant l'exil 1852-1870","Hugo, Victor, 1802-1885",2005,"France -- Politics and government -- 1789-1900; Hugo, Victor, 1802-1885"
8490,"Actes et Paroles, Volume 4 Depuis l'Exil 1876-1885.txt","Actes et Paroles, Volume 4: Depuis l'Exil 1876-1885","Hugo, Victor, 1802-1885",2005,"France -- Politics and government -- 1789-1900; Hugo, Victor, 1802-1885"
8520,Voyage d'un Habitant de la Lune à Paris à la Fin du XVIIIe Siècle.txt,Voyage d'un Habitant de la Lune à Paris à la Fin du XVIIIe Siècle,"Gallet, Pierre",2005,Utopias
8524,L'Île Des Pingouins.txt,L'Île Des Pingouins,"France, Anatole, 1844-1924",2005,"Satire; Political fiction, French; French fiction -- 20th century; Penguins -- Fiction; Civilization, Western -- Fiction; France -- Civilization -- Fiction"
8541,"Les mains pleines de roses, pleines d'or et pleines de sang.txt","Les mains pleines de roses, pleines d'or et pleines de sang","Houssaye, Arsène, 1815-1896",2005,French fiction -- 19th century
8560,Le Docteur Pascal.txt,Le Docteur Pascal,"Zola, Émile, 1840-1902",2005,Physicians -- Fiction; France -- Social life and customs -- 19th century -- Fiction
